------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
102         NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 1.637208958924039e+01 -2.407224768889840e-01 -1.140730149099267e+00  4.196088377394818e-01  1.171034596139571e+01  7.024694992664569e+00       13
 1.773643038834376e+01 -2.302398905801829e-01 -1.105511473935462e+00  4.577329143898437e-01  1.160945086952331e+01  7.087148066407025e+00       14
 1.910077118744712e+01 -2.189234176024025e-01 -1.068594450078019e+00  4.908754250672571e-01  1.148060176687208e+01  7.136736265182051e+00       15
 2.046511198655049e+01 -2.068624906226461e-01 -1.030696169053340e+00  5.199018576144180e-01  1.131661664279139e+01  7.174103329343803e+00       16
 2.182945278565386e+01 -1.941637027347169e-01 -9.926014855199471e-01  5.450344744190925e-01  1.110801123128592e+01  7.200230375326979e+00       17
 2.319379358475722e+01 -1.809058996917276e-01 -9.551499265933704e-01  5.709025333661120e-01  1.084199718163883e+01  7.216620299362905e+00       18
 2.455813438386058e+01 -1.669752174231380e-01 -9.185443953570990e-01  5.996539395241519e-01  1.050111221170808e+01  7.219923686102229e+00       19
 2.592247518296395e+01 -1.523482151197572e-01 -8.841915079088156e-01  6.372848499789544e-01  1.005746571488948e+01  7.216910812170783e+00       20
 2.728681598206732e+01 -1.366254848190621e-01 -8.522754770342376e-01  6.612790546916382e-01  9.470867520981127e+00  7.205626167308923e+00       21
 2.865115678117069e+01 -1.208558444173250e-01 -8.227880772271499e-01  6.022098433798025e-01  8.797863913705617e+00  7.185069064665817e+00       22
 3.001549758027405e+01 -1.079460833547622e-01 -7.957274246747608e-01  4.912627450127930e-01  8.238102712311013e+00  7.157087157966455e+00       23
 3.137983837937742e+01 -9.745999922701076e-02 -7.715934544308911e-01  3.990758329876137e-01  7.772565276380972e+00  7.122396958121297e+00       24
 3.274417917848078e+01 -8.894045874900178e-02 -7.505891600294387e-01  3.263520762910233e-01  7.370171932447203e+00  7.081344761370535e+00       25
 3.410851997758415e+01 -8.191773594907542e-02 -7.327513922559142e-01  2.701024022402933e-01  7.013623903257293e+00  7.034289025710906e+00       26
 3.547286077668752e+01 -7.607702044651694e-02 -7.178904606971340e-01  2.207840832814954e-01  6.691635410928822e+00  6.981663964602636e+00       27
 3.683720157579089e+01 -7.140303522574290e-02 -7.063446706090570e-01  1.721634492293908e-01  6.395787750251145e+00  6.924100438960921e+00       28
 3.820154237489425e+01 -6.787783836270335e-02 -6.989231237088366e-01  1.345788066820961e-01  6.120463351094758e+00  6.861898962130930e+00       29
 3.956588317399761e+01 -6.499379568388358e-02 -6.925051788691158e-01  1.038130245868146e-01  5.861460797057441e+00  6.795340701104241e+00       30
 4.093022397310097e+01 -6.293379994907740e-02 -6.895825336749185e-01  7.335719513068738e-02  5.614959843164357e+00  6.724877773930395e+00       31
 4.229456477220434e+01 -6.150019850337193e-02 -6.890783250231849e-01  4.878010827946809e-02  5.378185892417108e+00  6.650888773774988e+00       32
 4.365890557130771e+01 -6.061067302992312e-02 -6.906813859109846e-01  2.797582521213807e-02  5.149265066960421e+00  6.573591222894072e+00       33
 4.502324637041107e+01 -6.016786448040343e-02 -6.941130425468691e-01  1.144995426888079e-02  4.926298433949997e+00  6.493311826242401e+00       34
 4.638758716951444e+01 -6.006537493691584e-02 -6.989810424012313e-01 -1.726250955511036e-03  4.707592042825761e+00  6.410419675645741e+00       35
 4.775192796861781e+01 -6.025007628126394e-02 -7.051437668668132e-01 -1.198525700815137e-02  4.492222210915545e+00  6.325098570085677e+00       36
 4.911626876772117e+01 -6.063616654298777e-02 -7.122403716738703e-01 -1.863772189933279e-02  4.279147565283147e+00  6.237618206214028e+00       37
 5.048060956682454e+01 -6.113768804454767e-02 -7.199377399331497e-01 -2.263641447075168e-02  4.067416665079545e+00  6.148297036185036e+00       38
 5.184495036592791e+01 -6.171421394078525e-02 -7.280703045101148e-01 -2.458799071708788e-02  3.856569650909500e+00  6.057292459334259e+00       39
 5.320929116503127e+01 -6.230867823470555e-02 -7.363693063222532e-01 -2.443757566159986e-02  3.646001643241965e+00  5.964850112157678e+00       40
 5.457363196413463e+01 -6.287804069307860e-02 -7.445682404430940e-01 -2.307050934020864e-02  3.435209974807949e+00  5.871228946713866e+00       41
 5.593797276323799e+01 -6.340739917247405e-02 -7.525243206551204e-01 -2.101985237889475e-02  3.223953725894054e+00  5.776562594062821e+00       42
